county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting_county
Hancock,Orland,town,http://www.orlandme.org/,,"Selectman, assessor, school board, fish committee",https://townoforland.org/2021/05/11/orland-municipal-election-sample-ballot-for-june-8-2021/,Sample ballot,Hancock
Hancock,Osborn,town,https://www.emainehosting.com/OsbornMaine/,,,,,Hancock
Hancock,Otis,town,http://www.townofotis.com/,,,,,Hancock
Hancock,Penobscot,town,http://www.penobscot-maine.com/,,,,,Hancock
Hancock,Sedgwick,town,https://www.sedgwickmaine.org/,,,,,Hancock
Hancock,Sorrento,contact info,https://www.countyoffice.org/sorrento-town-hall-sorrento-me-b47/,,,,,Hancock
Hancock,Southwest Harbor,town,http://www.southwestharbormaine.org/,,"June 8: Election, June 5: Town meeting",http://www.southwestharbormaine.org/,Election details and town meeting warrant,Hancock
Hancock,Stonington,town,https://www.stoningtonmaine.org/,,,,,Hancock
Hancock,Sullivan,town,https://sullivanmaine.org/,,,,,Hancock
Hancock,Surry,election,https://www.townofsurrymaine.com/departments/elections/index.php,,,,,Hancock
Hancock,Swans Island,town,http://swansisland.org/,,,,,Hancock
Hancock,Tremont,town,http://tremont.maine.gov/,,May 4 & 5: Town meeting and election,https://www.tremont.maine.gov/home/news/2021-annual-town-meeting-information,Town meeting and election details,Hancock
Hancock,Trenton,town,https://www.trentonme.com/,,"May 17: Selectmen, school board",https://www.trentonme.com/images/pdf/Election%20Candidates%20May%202021.pdf,Candidate profiles,Hancock
Hancock,Verona Island,town,http://www.veroname.org/,,,,,Hancock
Hancock,Waltham,contact info,https://www.maine.gov/local/town.php?t=Waltham,,,,,Hancock
Hancock,Winter Harbor,town,https://winterharbortown.com/,,,,,Hancock
Kennebec,Albion,town,https://townofalbionmaine.com/,,School budget,,,Kennebec
Kennebec,Augusta,election,http://www.augustamaine.gov/businesses/city_government/elections.php,,June 15: School budget and municipal referendum,,,Kennebec
Kennebec,Belgrade,election,https://www.townofbelgrade.com/voterregistration,Town Office,Municipal & RSU #18 election,,,Kennebec
Kennebec,Benton,election,https://www.bentonmaine.info/town-clerk---elections.html,,,,,Kennebec
Kennebec,Chelsea,town,https://chelseamaine.org/,,"Board of directors, selectmen, budget committee, planning board, appeals board, board of assessment review, school budget",https://chelsea100954815.files.wordpress.com/2021/05/sample-ballots.pdf,Sample ballot,Kennebec
Kennebec,China,election,https://china.govoffice.com/elections,,Town meeting & municipal election,https://china.govoffice.com/elections,Town meeting warrant and sample ballots,Kennebec
Kennebec,Clinton,town,http://www.clinton-me.us,,June 10: Selectmen's meeting,https://clintonme.govoffice.com/vertical/Sites/%7B8223271E-6464-4357-A7AA-9AD738BDD5C8%7D/uploads/Agenda_06-10-2021.pdf,Meeting agenda,Kennebec
Kennebec,Farmingdale,election,https://www.farmingdalemaine.org/index.asp?SEC=645DE9BE-E94D-4525-BF14-931B69726E98&Type=B_BASIC,,School budget and municipal positions,,,Kennebec
Kennebec,Fayette,town,https://www.fayettemaine.org/,,June 29: Town meeting,https://www.fayettemaine.org/uploads/7/1/1/9/7119216/warrant_final_fayette.pdf,Town meeting warrant,Kennebec
Kennebec,Gardiner,election,https://www.gardinermaine.com/office-city-clerk/pages/voting-elections,"Outside the door to City Hall, facing the parking lot",School district,,,Kennebec
Kennebec,Hallowell,election,https://hallowell.govoffice.com/index.asp?Type=B_BASIC&SEC=%7B49BCD9B5-12A8-43C1-96FA-2F515E9100E9%7D,,RSU #2 Budget Referendum,,,Kennebec
Kennebec,Litchfield,election,https://www.litchfieldmaine.org/town-government/town-meeting/,,"June 8: Municipal and referendum election, June 12: Town meeting",https://www.litchfieldmaine.org/town-government/town-meeting/,Sample ballots,Kennebec
Kennebec,Manchester,town,http://www.manchester.govoffice2.com/,,"June 8: Selectman, sanitary district, school board, June 10: Town meeting",https://manchester.govoffice2.com/vertical/Sites/%7B3B8C7150-3DCC-4652-A5F2-C595FDA4FEA5%7D/uploads/ballot.pdf,Sample ballot,Kennebec
Kennebec,Monmouth,town,http://www.monmouthme.org,,Budget,https://monmouthme.govoffice2.com/index.asp?SEC=E532A659-79CB-4568-9EFA-584526E7041D,Budget information,Kennebec
Kennebec,Mount Vernon,town,http://www.mtvernonme.org/,,"June 8: Municipal election, June 12: Town meeting",https://drive.google.com/file/d/1TEepLlYcoenBBrLEP2_uloK6zZN9lVLA/view?usp=drive_web,Election and town meeting details,Kennebec
